e,Diver,Buddy,Site No.,Site Name,Latitude,Longitude,Date,vis,Direction,Time,P-Qs,Depth,Method,Block,Code,Species,Common name,Total,Inverts,2.5,5,7.5,10,12.5,15,20,25,30,35,40,50,62.5,75,87.5,100,112.5,125,137.5,150,162.5,175,187.5,200,250,300,350,400,,,,,,,,,,,,,,,,,,,,
963,Carter Burtlake,Alec Jones,BMSC22,Dixon Inside,48.85427,-125.11703,14/04/2026 ,2,E,12:12,CBL,6.7,2,2,dim,Dermasterias imbricata,Leather star,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
964,Carter Burtlake,Alec Jones,BMSC22,Dixon Inside,48.85427,-125.11703,14/04/2026 ,2,E,12:12,CBL,6.7,2,2,hemilepidotus,Hemilepidotus spp.,Unidentified Irish lord,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
965,Carter Burtlake,Alec Jones,BMSC22,Dixon Inside,48.85427,-125.11703,14/04/2026 ,2,E,12:12,CBL,6.7,2,2,cpr,Cancer productus,Red rock crab,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
966,Carter Burtlake,Alec Jones,BMSC22,Dixon Inside,48.85427,-125.11703,14/04/2026 ,2,E,12:12,CBL,6.7,2,2,das,Diodora aspera,Rough keyhole limpet,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
967,Carter Burtlake,Alec Jones,BMSC22,Dixon Inside,48.85427,-125.11703,14/04/2026 ,2,E,12:12,CBL,6.7,2,2,sfo,Stylasterias forreri,Velcro seastar,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
968,Carter Burtlake,Alec Jones,BMSC22,Dixon Inside,48.85427,-125.11703,14/04/2026 ,2,E,12:12,CBL,6.7,2,2,poc,Pisaster ochraceus,Purple sea star,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
969,Carter Burtlake,Alec Jones,BMSC22,Dixon Inside,48.85427,-125.11703,14/04/2026 ,2,E,12:12,CBL,6.7,2,2,pcl,Pholis clemensi,Longfin gunnel,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970,Carter Burtlake,Alec Jones,BMSC22,Dixon Inside,48.85427,-125.11703,14/04/2026 ,2,E,12:12,CBL,6.7,2,2,oko,Orthasterias koehleri,Rainbow star,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
971,Carter Burtlake,Alec Jones,BMSC22,Dixon Inside,48.85427,-125.11703,14/04/2026 ,2,E,12:12,CBL,6.7,2,2,etr,Evasterias troschelii,Mottled starfish,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
972,Carter Burtlake,Alec Jones,BMSC22,Dixon Inside,48.85427,-125.11703,14/04/2026 ,2,E,12:12,CBL,6.7,2,2,sac,Scyra acutifrons,Sharpnose crab,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973,Carter Burtlake,Alec Jones,BMSC22,Dixon Inside,48.85427,-125.11703,14/04/2026 ,2,E,12:12,CBL,6.7,2,2,dsa,Diaulula sandiegensis,Ringed doris,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
974,Carter Burtlake,Alec Jones,BMSC22,Dixon Inside,48.85427,-125.11703,14/04/2026 ,2,E,12:12,CBL,6.7,2,2,lbe,Lophopanopeus bellus,Black-clawed crab,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975,Carter Burtlake,Alec Jones,BMSC22,Dixon Inside,48.85427,-125.11703,14/04/2026 ,2,E,12:12,CBL,6.7,2,2,ala,Artedius lateralis,Smoothhead sculpin,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,Carter Burtlake,Alec Jones,BMSC22,Dixon Inside,48.85427,-125.11703,14/04/2026 ,2,E,12:12,CBL,6.7,2,2,ppu,Pachycheles pubescens,Porcelain crab,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,Carter Burtlake,Hannah Schriber ,BMSC5,Taylor Rock,48.82733,-125.1966,15/04/2026,2,W,9:45,HS,6.2,0,0,phel,Pycnopodia helianthoides,Sunflower star,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,Carter Burtlake,Hannah Schriber ,BMSC5,Taylor Rock,48.82733,-125.1966,15/04/2026,2,W,9:45,HS,6.2,1,2,hde,Hexagrammos decagrammus,Kelp greenling,5,0,,,,3,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,Carter Burtlake,Hannah Schriber ,BMSC5,Taylor Rock,48.82733,-125.1966,15/04/2026,2,W,9:45,HS,6.2,2,2,mfr,Mesocentrotus franciscanus,Red sea urchin,246,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980,Carter Burtlake,Hannah Schriber ,BMSC5,Taylor Rock,48.82733,-125.1966,15/04/2026,2,W,9:45,HS,6.2,2,2,pgi,Pomaulax gibberosus,Red turban shell,63,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
981,Carter Burtlake,Hannah Schriber ,BMSC5,Taylor Rock,48.82733,-125.1966,15/04/2026,2,W,9:45,HS,6.2,2,2,cgi,Crassadoma gigantea,Purple-hinged rock scallop,5,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982,Carter Burtlake,Hannah Schriber ,BMSC5,Taylor Rock,48.82733,-125.1966,15/04/2026,2,W,9:45,HS,6.2,2,2,dim,Dermasterias imbricata,Leather star,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983,Carter Burtlake,Hannah Schriber ,BMSC5,Taylor Rock,48.82733,-125.1966,15/04/2026,2,W,9:45,HS,6.2,2,2,acal,Apostichopus californicus,Californian sea cucumber,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984,Carter Burtlake,Hannah Schriber ,BMSC5,Taylor Rock,48.82733,-125.1966,15/04/2026,2,W,9:45,HS,6.2,2,2,cfo,Ceratostoma foliatum,Leafy hornmouth,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
985,Carter Burtlake,Hannah Schriber ,BMSC5,Taylor Rock,48.82733,-125.1966,15/04/2026,2,W,9:45,HS,6.2,2,2,dal,Dirona albolineata,White-line dirona,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
986,Carter Burtlake,Hannah Schriber ,BMSC5,Taylor Rock,48.82733,-125.1966,15/04/2026,2,W,9:45,HS,6.2,2,2,hka,Haliotis kamtschatkana,Pinto abalone,14,,2,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987,Carter Burtlake,Hannah Schriber ,BMSC5,Taylor Rock,48.82733,-125.1966,15/04/2026,2,W,9:45,HS,6.2,2,2,sfo,Stylasterias forreri,Velcro seastar,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,Carter Burtlake,Hannah Schriber ,BMSC5,Taylor Rock,48.82733,-125.1966,15/04/2026,2,W,9:45,HS,6.2,2,2,pmi,Patiria miniata,Bat star,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989,Carter Burtlake,Hannah Schriber ,BMSC5,Taylor Rock,48.82733,-125.1966,15/04/2026,2,W,9:45,HS,6.2,2,2,phe,Pagurus hemphilli,Maroon hermit,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990,Carter Burtlake,Hannah Schriber ,BMSC5,Taylor Rock,48.82733,-125.1966,15/04/2026,2,W,9:45,HS,6.2,2,2,ami,Acmaea mitra,Whitecap limpet,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991,Carter Burtlake,Hannah Schriber ,BMSC5,Taylor Rock,48.82733,-125.1966,15/04/2026,2,W,9:45,HS,6.2,2,2,hcr,Hermissenda crassicornis,Opalescent nudibranch,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
992,Carter Burtlake,Hannah Schriber ,BMSC5,Taylor Rock,48.82733,-125.1966,15/04/2026,2,W,9:45,HS,6.2,2,2,rni,Rhinogobiops nicholsii,Blackeye goby,8,0,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993,Carter Burtlake,Hannah Schriber ,BMSC5,Taylor Rock,48.82733,-125.1966,15/04/2026,2,W,9:45,HS,6.2,2,2,henricia,Henricia spp.,Unidentified blood star,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
994,Carter Burtlake,Hannah Schriber ,BMSC5,Taylor Rock,48.82733,-125.1966,15/04/2026,2,W,9:45,HS,6.2,2,2,das,Diodora aspera,Rough keyhole limpet,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
995,Carter Burtlake,Hannah Schriber ,BMSC5,Taylor Rock,48.82733,-125.1966,15/04/2026,2,W,9:45,HS,6.2,2,2,aha,Artedius harringtoni,Scalyhead sculpin,2,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
996,Carter Burtlake,Hannah Schriber ,BMSC5,Taylor Rock,48.82733,-125.1966,15/04/2026,2,W,9:45,HS,6.2,2,2,ppu,Pachycheles pubescens,Porcelain crab,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997,Carter Burtlake,Hannah Schriber ,BMSC5,Taylor Rock,48.82733,-125.1966,15/04/2026,2,W,9:45,HS,6.2,0,2,sebastes,Sebastes spp.,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998,Carter Burtlake,Hannah Schriber ,BMSC5,Taylor Rock,48.82733,-125.1966,15/04/2026,2,W,9:45,HS,6.2,0,2,sac,Scyra acutifrons,Sharpnose crab,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999,Carter Burtlake,Hannah Schriber ,BMSC5,Taylor Rock,48.82733,-125.1966,15/04/2026,2,W,9:45,HS,6.2,0,2,gor,Glebocarcinus oregonensis,Pygmy rock crab,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,Carter Burtlake,Hannah Schriber ,BMSC5,Taylor Rock,48.82733,-125.1966,15/04/2026,2,W,9:45,HS,6.2,0,2,phel,Pycnopodia helianthoides,Sunflower star,1,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,Carter Burtlake,Hannah Schriber ,BMSC5,Taylor Rock,48.82733,-125.1966,15/04/2026,2,W,9:45,HS,6.2,0,2,oko,Orthasterias koehleri,Rainbow star,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,Carter Burtlake,Hannah Schriber ,BMSC5,Taylor Rock,48.82733,-125.1966,15/04/2026,2,W,9:45,HS,6.2,0,2,spur,Strongylocentrotus purpuratus,Purple sea urchin,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,Carter Burtlake,Hannah Schriber ,BMSC1,Dodger Channel,48.8289,-125.19757,15/04/2026,1.5,NE,12:10,HS,7,0,1,bolinopsis,Bolinopsis spp.,Unidentified northern comb jelly,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,Carter Burtlake,Hannah Schriber ,BMSC1,Dodger Channel,48.8289,-125.19757,15/04/2026,1.5,NE,12:10,HS,7,1,1,hde,Hexagrammos decagrammus,Kelp greenling,2,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,Carter Burtlake,Hannah Schriber ,BMSC1,Dodger Channel,48.8289,-125.19757,15/04/2026,1.5,NE,12:10,HS,7,2,1,mfr,Mesocentrotus franciscanus,Red sea urchin,150,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,Carter Burtlake,Hannah Schriber ,BMSC1,Dodger Channel,48.8289,-125.19757,15/04/2026,1.5,NE,12:10,HS,7,2,1,pgi,Pomaulax gibberosus,Red turban shell,237,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,Carter Burtlake,Hannah Schriber ,BMSC1,Dodger Channel,48.8289,-125.19757,15/04/2026,1.5,NE,12:10,HS,7,2,1,pmi,Patiria miniata,Bat star,78,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,Carter Burtlake,Hannah Schriber ,BMSC1,Dodger Channel,48.8289,-125.19757,15/04/2026,1.5,NE,12:10,HS,7,2,1,hka,Haliotis kamtschatkana,Pinto abalone,44,0,3,25,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,Carter Burtlake,Hannah Schriber ,BMSC1,Dodger Channel,48.8289,-125.19757,15/04/2026,1.5,NE,12:10,HS,7,2,1,ami,Acmaea mitra,Whitecap limpet,39,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,Carter Burtlake,Hannah Schriber ,BMSC1,Dodger Channel,48.8289,-125.19757,15/04/2026,1.5,NE,12:10,HS,7,2,1,cfo,Ceratostoma foliatum,Leafy hornmouth,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,Carter Burtlake,Hannah Schriber ,BMSC1,Dodger Channel,48.8289,-125.19757,15/04/2026,1.5,NE,12:10,HS,7,2,1,dim,Dermasterias imbricata,Leather star,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,Carter Burtlake,Hannah Schriber ,BMSC1,Dodger Channel,48.8289,-125.19757,15/04/2026,1.5,NE,12:10,HS,7,2,1,gor,Glebocarcinus oregonensis,Pygmy rock crab,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,Carter Burtlake,Hannah Schriber ,BMSC1,Dodger Channel,48.8289,-125.19757,15/04/2026,1.5,NE,12:10,HS,7,2,1,acal,Apostichopus californicus,Californian sea cucumber,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,Carter Burtlake,Hannah Schriber ,BMSC1,Dodger Channel,48.8289,-125.19757,15/04/2026,1.5,NE,12:10,HS,7,2,1,etr,Evasterias troschelii,Mottled starfish,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,Carter Burtlake,Hannah Schriber ,BMSC1,Dodger Channel,48.8289,-125.19757,15/04/2026,1.5,NE,12:10,HS,7,2,1,rni,Rhinogobiops nicholsii,Blackeye goby,2,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,Carter Burtlake,Hannah Schriber ,BMSC1,Dodger Channel,48.8289,-125.19757,15/04/2026,1.5,NE,12:10,HS,7,2,1,sfo,Stylasterias forreri,Velcro seastar,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,Carter Burtlake,Hannah Schriber ,BMSC1,Dodger Channel,48.8289,-125.19757,15/04/2026,1.5,NE,12:10,HS,7,2,1,oko,Orthasterias koehleri,Rainbow star,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,Carter Burtlake,Hannah Schriber ,BMSC1,Dodger Channel,48.8289,-125.19757,15/04/2026,1.5,NE,12:10,HS,7,2,1,phe,Pagurus hemphilli,Maroon hermit,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,Carter Burtlake,Hannah Schriber ,BMSC1,Dodger Channel,48.8289,-125.19757,15/04/2026,1.5,NE,12:10,HS,7,2,1,cpr,Cancer productus,Red rock crab,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,Carter Burtlake,Hannah Schriber ,BMSC1,Dodger Channel,48.8289,-125.19757,15/04/2026,1.5,NE,12:10,HS,7,2,1,hcr,Hermissenda crassicornis,Opalescent nudibranch,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,Carter Burtlake,Hannah Schriber ,BMSC1,Dodger Channel,48.8289,-125.19757,15/04/2026,1.5,NE,12:10,HS,7,2,1,sac,Scyra acutifrons,Sharpnose crab,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,Carter Burtlake,Hannah Schriber ,BMSC1,Dodger Channel,48.8289,-125.19757,15/04/2026,1.5,NE,12:10,HS,7,2,1,hhe,Hemilepidotus hemilepidotus,Red Irish lord,1,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,Carter Burtlake,Hannah Schriber ,BMSC1,Dodger Channel,48.8289,-125.19757,15/04/2026,1.5,NE,12:10,HS,7,2,1,dsc,Discorsopagurus schmitti,Tubeworm hermit,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,Carter Burtlake,Hannah Schriber ,BMSC1,Dodger Channel,48.8289,-125.19757,15/04/2026,1.5,NE,12:10,HS,7,2,1,jzo,Jordania zonope,Longfin sculpin,2,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,Carter Burtlake,Hannah Schriber ,BMSC1,Dodger Channel,48.8289,-125.19757,15/04/2026,1.5,NE,12:10,HS,7,0,1,poc,Pisaster ochraceus,Purple sea star,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026,Carter Burtlake,Hannah Schriber ,BMSC1,Dodger Channel,48.8289,-125.19757,15/04/2026,1.5,NE,12:10,HS,7,0,1,ppr,Pugettia producta,Northern kelp crab,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,Carter Burtlake,Hannah Schriber ,BMSC1,Dodger Channel,48.8289,-125.19757,15/04/2026,1.5,NE,12:10,HS,7,2,1,prud,Pachycheles rudis,Thickclaw porcelain crab,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028,Carter Burtlake,Isabelle Cote,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2.5,SW,9:45,CBL,8.5,1,2,hde,Hexagrammos decagrammus,Kelp greenling,2,0,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,Carter Burtlake,Isabelle Cote,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2.5,SW,9:45,CBL,8.5,1,2,rni,Rhinogobiops nicholsii,Blackeye goby,12,0,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,Carter Burtlake,Isabelle Cote,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2.5,SW,9:45,CBL,8.5,2,2,mfr,Mesocentrotus franciscanus,Red sea urchin,289,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,Carter Burtlake,Isabelle Cote,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2.5,SW,9:45,CBL,8.5,2,2,rni,Rhinogobiops nicholsii,Blackeye goby,71,0,47,17,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,Carter Burtlake,Isabelle Cote,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2.5,SW,9:45,CBL,8.5,2,2,acal,Apostichopus californicus,Californian sea cucumber,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,Carter Burtlake,Isabelle Cote,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2.5,SW,9:45,CBL,8.5,2,2,gor,Glebocarcinus oregonensis,Pygmy rock crab,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,Carter Burtlake,Isabelle Cote,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2.5,SW,9:45,CBL,8.5,2,2,cfo,Ceratostoma foliatum,Leafy hornmouth,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,Carter Burtlake,Isabelle Cote,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2.5,SW,9:45,CBL,8.5,2,2,dim,Dermasterias imbricata,Leather star,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,Carter Burtlake,Isabelle Cote,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2.5,SW,9:45,CBL,8.5,2,2,oko,Orthasterias koehleri,Rainbow star,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037,Carter Burtlake,Isabelle Cote,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2.5,SW,9:45,CBL,8.5,2,2,ami,Acmaea mitra,Whitecap limpet,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,Carter Burtlake,Isabelle Cote,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2.5,SW,9:45,CBL,8.5,2,2,hka,Haliotis kamtschatkana,Pinto abalone,5,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,Carter Burtlake,Isabelle Cote,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2.5,SW,9:45,CBL,8.5,2,2,pgi,Pomaulax gibberosus,Red turban shell,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,Carter Burtlake,Isabelle Cote,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2.5,SW,9:45,CBL,8.5,2,2,dsa,Diaulula sandiegensis,Ringed doris,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,Carter Burtlake,Isabelle Cote,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2.5,SW,9:45,CBL,8.5,2,2,aha,Artedius harringtoni,Scalyhead sculpin,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,Carter Burtlake,Isabelle Cote,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2.5,SW,9:45,CBL,8.5,2,2,cgi,Crassadoma gigantea,Purple-hinged rock scallop,15,0,3,7,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,Carter Burtlake,Isabelle Cote,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2.5,SW,9:45,CBL,8.5,2,2,dir,Dendronotus iris,Giant frond-aeolis,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1044,Carter Burtlake,Isabelle Cote,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2.5,SW,9:45,CBL,8.5,2,2,ctro,Coryphella trophina,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,Carter Burtlake,Isabelle Cote,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2.5,SW,9:45,CBL,8.5,2,2,pnob,Peltodoris nobilis,Noble sea lemon,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,Carter Burtlake,Isabelle Cote,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2.5,SW,9:45,CBL,8.5,2,2,hcr,Hermissenda crassicornis,Opalescent nudibranch,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047,Carter Burtlake,Isabelle Cote,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2.5,SW,9:45,CBL,8.5,2,2,ppu,Pachycheles pubescens,Porcelain crab,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,Carter Burtlake,Isabelle Cote,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2.5,SW,9:45,CBL,8.5,2,2,pmi,Patiria miniata,Bat star,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,Carter Burtlake,Isabelle Cote,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2.5,SW,9:45,CBL,8.5,2,2,mae,Mediaster aequalis,Vermillion sea star,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,Carter Burtlake,Isabelle Cote,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2.5,SW,9:45,CBL,8.5,2,2,romaleon,Romaleon spp.,Unidentified rock crab,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,Carter Burtlake,Isabelle Cote,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2.5,SW,9:45,CBL,8.5,2,2,henricia,Henricia spp.,Unidentified blood star,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,Carter Burtlake,Isabelle Cote,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2.5,SW,9:45,CBL,8.5,2,2,sac,Scyra acutifrons,Sharpnose crab,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053,Carter Burtlake,Isabelle Cote,BMSC11,Wizard Island South,48.85747,-125.15823,16/04/2026,2.5,SW,9:45,CBL,8.5,0,2,acali,Armina californica,Striped nudibranch,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1054,Carter Burtlake,Isabelle Cote,BMSC12,Wizard Island North,48.85828,-125.16092,16/04/2026,2.5,NE,11:56,CBL,9,1,2,hde,Hexagrammos decagrammus,Kelp greenling,1,0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
